TAM,TAM,2023-11-06T02:30:00-03:00,2023-11-06,2023-11-07T09:00:00-03:00,2023-11-20T12:15:00-03:00,2023-11-20,2023-11-21T22:35:00-03:00,14,3533.72,3433.72,0,2,3533.72,Recife,Milão,Aeroporto de Milão-Malpensa,Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre,https://123milhas.com/v2/busca?de=REC&para=MXP&ida=06-11-2023&volta=20-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
TAM,TAM,2023-11-07T22:00:00-03:00,2023-11-07,2023-11-09T09:00:00-03:00,2023-11-14T12:15:00-03:00,2023-11-14,2023-11-15T22:35:00-03:00,6,3533.72,3433.72,0,2,3533.72,Recife,Milão,Aeroporto de Milão-Malpensa,Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre,https://123milhas.com/v2/busca?de=REC&para=MXP&ida=07-11-2023&volta=14-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
GOL,gol,2023-11-28T12:55:00-03:00,2023-11-28,2023-11-29T16:25:00-03:00,2023-12-03T19:35:00-03:00,2023-12-03,2023-12-04T21:50:00-03:00,5,3691.85,,0,2,3691.85,Recife,Roma,Aeroporto Internacional de Roma,Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre,https://123milhas.com/v2/busca?de=REC&para=FCO&ida=28-11-2023&volta=03-12-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
TAM,TAM,2023-10-21T05:00:00-03:00,2023-10-21,2023-10-23T10:00:00-03:00,2023-10-26T13:15:00-03:00,2023-10-26,2023-10-27T22:35:00-03:00,5,3846.94,3746.94,0,2,3846.94,Recife,Milão,Aeroporto de Milão-Malpensa,Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre,https://123milhas.com/v2/busca?de=REC&para=MXP&ida=21-10-2023&volta=26-10-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
GOL,gol,2023-11-26T17:45:00-03:00,2023-11-26,2023-11-28T11:00:00-03:00,2023-12-01T14:00:00-03:00,2023-12-01,2023-12-01T21:50:00-03:00,4,3951.03,,0,2,3951.03,Recife,Porto,Aeroporto Francisco Sá Carneiro,Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre,https://123milhas.com/v2/busca?de=REC&para=OPO&ida=26-11-2023&volta=01-12-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
GOL,gol,2023-11-26T12:55:00-03:00,2023-11-26,2023-11-27T12:25:00-03:00,2023-12-03T11:00:00-03:00,2023-12-03,2023-12-03T21:50:00-03:00,6,4031.9,,0,1,4031.9,Recife,Paris,Aeroporto de Paris-Charles de Gaulle,Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre,https://123milhas.com/v2/busca?de=REC&para=PAR&ida=26-11-2023&volta=03-12-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
GOL,gol,2023-11-21T12:55:00-03:00,2023-11-21,2023-11-22T16:10:00-03:00,2023-11-26T11:55:00-03:00,2023-11-26,2023-11-26T21:50:00-03:00,4,4047.85,,0,2,4047.85,Recife,Milão,Aeroporto de Milão-Malpensa,Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre,https://123milhas.com/v2/busca?de=REC&para=MXP&ida=21-11-2023&volta=26-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
TAM,TAM,2023-11-19T23:40:00-03:00,2023-11-19,2023-11-22T08:55:00-03:00,2023-11-24T12:20:00-03:00,2023-11-24,2023-11-26T15:35:00-03:00,4,4049.45,3949.45,0,2,4049.45,Recife,Roma,Aeroporto Internacional de Roma,Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre,https://123milhas.com/v2/busca?de=REC&para=FCO&ida=19-11-2023&volta=24-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
GOL,gol,2023-11-10T18:00:00-03:00,2023-11-10,2023-11-11T23:30:00-03:00,2023-11-15T11:55:00-03:00,2023-11-15,2023-11-15T21:50:00-03:00,4,4056.04,,0,2,4056.04,Recife,Milão,Aeroporto de Milão-Malpensa,Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre,https://123milhas.com/v2/busca?de=REC&para=MXP&ida=10-11-2023&volta=15-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
GOL,gol,2023-11-13T18:00:00-03:00,2023-11-13,2023-11-14T23:30:00-03:00,2023-11-18T11:55:00-03:00,2023-11-18,2023-11-18T21:50:00-03:00,4,4056.04,,0,2,4056.04,Recife,Milão,Aeroporto de Milão-Malpensa,Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre,https://123milhas.com/v2/busca?de=REC&para=MXP&ida=13-11-2023&volta=18-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
