TAP PORTUGAL;TAP PORTUGAL;2023-11-07T23:20:00-03:00;2023-11-07;2023-11-08T19:45:00-03:00;2023-11-15T11:00:00-03:00;2023-11-15;2023-11-15T21:50:00-03:00;7;3811.06;3711.06;0;1;3811.06;Recife;Paris;Aeroporto de Paris-Orly;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=PAR&ida=07-11-2023&volta=15-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
TAP PORTUGAL;TAP PORTUGAL;2023-11-07T23:20:00-03:00;2023-11-07;2023-11-08T19:45:00-03:00;2023-11-15T11:00:00-03:00;2023-11-15;2023-11-15T21:50:00-03:00;7;3811.06;3711.06;0;1;3811.06;Recife;Paris;Aeroporto de Paris-Orly;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=PAR&ida=07-11-2023&volta=15-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
GOL;gol;2023-11-07T21:35:00-03:00;2023-11-07;2023-11-09T16:45:00-03:00;2023-11-14T13:25:00-03:00;2023-11-14;2023-11-14T21:50:00-03:00;6;3994.55;;0;2;3994.55;Recife;Frankfurt;Frankfurt Airport;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=FRA&ida=07-11-2023&volta=14-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
TAM;tam;2023-11-21T16:20:00-03:00;2023-11-21;2023-11-22T14:05:00-03:00;2023-11-28T20:25:00-03:00;2023-11-28;2023-11-29T15:30:00-03:00;7;4009.38;3824.25;0;1;4009.38;Recife;Londres;Aeroporto de Londres Heathrow;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=LHR&ida=21-11-2023&volta=28-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
TAP;TAP;2023-11-10T23:20:00-03:00;2023-11-10;2023-11-11T09:50:00-03:00;2023-11-18T17:00:00-03:00;2023-11-18;2023-11-18T21:50:00-03:00;7;4011.74;3911.74;0;0;4011.74;Recife;Lisboa;Aeroporto de Lisboa;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=LIS&ida=10-11-2023&volta=18-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
TAP;TAP;2023-11-10T23:20:00-03:00;2023-11-10;2023-11-11T09:50:00-03:00;2023-11-19T17:00:00-03:00;2023-11-19;2023-11-19T21:50:00-03:00;8;4011.74;3911.74;0;0;4011.74;Recife;Lisboa;Aeroporto de Lisboa;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=LIS&ida=10-11-2023&volta=19-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
GOL;gol;2023-11-13T12:55:00-03:00;2023-11-13;2023-11-14T16:45:00-03:00;2023-11-25T06:05:00-03:00;2023-11-25;2023-11-25T21:50:00-03:00;11;4145.64;;0;2;4145.64;Recife;Roma;Aeroporto Internacional de Roma;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=FCO&ida=13-11-2023&volta=25-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
GOL;gol;2023-11-08T04:45:00-03:00;2023-11-08;2023-11-09T19:10:00-03:00;2023-11-21T12:15:00-03:00;2023-11-21;2023-11-21T21:50:00-03:00;13;4151.88;;0;2;4151.88;Recife;Roma;Aeroporto Internacional de Roma;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=FCO&ida=08-11-2023&volta=21-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
TAP PORTUGAL;TAP PORTUGAL;2023-11-09T23:20:00-03:00;2023-11-09;2023-11-10T22:35:00-03:00;2023-11-16T13:30:00-03:00;2023-11-16;2023-11-16T21:50:00-03:00;6;4308.25;4208.25;0;1;4308.25;Recife;Zurique;Aeroporto de Zurique;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=ZRH&ida=09-11-2023&volta=16-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=1
GOL;gol;2023-11-29T18:50:00-03:00;2023-11-29;2023-12-01T21:25:00-03:00;2023-12-13T08:15:00-03:00;2023-12-13;2023-12-13T21:50:00-03:00;13;4369.65;;0;2;4369.65;Recife;Londres;Aeroporto de Londres Heathrow;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=LHR&ida=29-11-2023&volta=13-12-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
