GOL;gol;2023-10-25T12:30:00-03:00;2023-10-25;2023-10-26T15:20:00-03:00;2023-11-02T11:55:00-03:00;2023-11-02;2023-11-02T21:50:00-03:00;7;3851.64;;0;2;3851.64;Recife;Milão;Aeroporto de Milão-Malpensa;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=MXP&ida=25-10-2023&volta=02-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
TAM;TAM;2023-10-20T02:30:00-03:00;2023-10-20;2023-10-21T15:55:00-03:00;2023-10-25T16:35:00-03:00;2023-10-25;2023-10-27T01:40:00-03:00;5;3861.14;3761.14;0;2;3861.14;Recife;Porto;Aeroporto Francisco Sá Carneiro;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=OPO&ida=20-10-2023&volta=25-10-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
TAP;TAP;2023-11-10T23:20:00-03:00;2023-11-10;2023-11-11T09:50:00-03:00;2023-11-18T17:00:00-03:00;2023-11-18;2023-11-18T21:50:00-03:00;7;4011.74;3911.74;0;0;4011.74;Recife;Lisboa;Aeroporto de Lisboa;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=LIS&ida=10-11-2023&volta=18-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
GOL;gol;2024-01-12T17:45:00-03:00;2024-01-12;2024-01-13T17:15:00-03:00;2024-01-27T11:50:00-03:00;2024-01-27;2024-01-28T09:55:00-03:00;14;4226.83;;0;2;4226.83;Recife;Barcelona;Barcelona;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=BCN&ida=12-01-2024&volta=27-01-2024&adultos=1&criancas=0&classe=3&is_loyalty=0
AZUL;azul;2023-10-23T17:40:00-03:00;2023-10-23;2023-10-25T05:20:00-03:00;2023-11-07T10:00:00-03:00;2023-11-07;2023-11-08T01:55:00-03:00;14;4264.81;4385.89;0;1;4264.81;Recife;Lisboa;Aeroporto de Lisboa;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=LIS&ida=23-10-2023&volta=07-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
TAP PORTUGAL;TAP PORTUGAL;2023-12-03T23:20:00-03:00;2023-12-03;2023-12-04T22:35:00-03:00;2023-12-10T13:30:00-03:00;2023-12-10;2023-12-10T21:50:00-03:00;6;4308.25;4208.25;0;1;4308.25;Recife;Zurique;Aeroporto de Zurique;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=ZRH&ida=03-12-2023&volta=10-12-2023&adultos=1&criancas=0&classe=3&is_loyalty=1
GOL;gol;2023-12-01T04:45:00-03:00;2023-12-01;2023-12-02T16:35:00-03:00;2023-12-13T08:15:00-03:00;2023-12-13;2023-12-13T21:50:00-03:00;12;4369.94;;0;2;4369.94;Recife;Londres;Aeroporto de Londres Heathrow;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=LHR&ida=01-12-2023&volta=13-12-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
AZUL;azul;2023-11-15T17:45:00-03:00;2023-11-15;2023-11-16T23:00:00-03:00;2023-11-23T21:15:00-03:00;2023-11-23;2023-11-24T21:30:00-03:00;8;4399.18;4930.41;0;2;4399.18;Recife;Paris;Aeroporto de Paris-Orly;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=ORY&ida=15-11-2023&volta=23-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
AZUL;azul;2023-11-21T17:55:00-03:00;2023-11-21;2023-11-22T21:40:00-03:00;2023-11-30T21:15:00-03:00;2023-11-30;2023-12-01T16:35:00-03:00;9;4411.66;4942.89;0;2;4411.66;Recife;Paris;Aeroporto de Paris-Orly;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=ORY&ida=21-11-2023&volta=30-11-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
GOL;gol;2023-11-28T09:30:00-03:00;2023-11-28;2023-11-29T10:30:00-03:00;2023-12-09T19:55:00-03:00;2023-12-09;2023-12-10T21:50:00-03:00;11;4494.77;;0;2;4494.77;Recife;Londres;Aeroporto de Londres Heathrow;Aeroporto Internacional do Recife/Guararapes - Gilberto Freyre;https://123milhas.com/v2/busca?de=REC&para=LHR&ida=28-11-2023&volta=09-12-2023&adultos=1&criancas=0&classe=3&is_loyalty=0
